PROYECTO;TAREA;DESCRIPCION;SECCION;FECHA;PERIODICIDAD;ORDEN;RESPONSABLE;CODPROY;CODTAREA;ETIQUETA;CODIGO;TIPO;ORDEN;CODCLI2;1;
Ruta Dario Martes;61920,Auto LayBon;??/// http://maps.google.com/?q=-34.68256716659339,-55.6979936733842;;2025-02-04T03:00:00.000Z;cada martes;17;26988122;2236031612;4021247065;;61920;Ruta;1;61920;;
Ruta Dario Martes;61494, ANDREA VIVIANA ACOSTA;??/// http://maps.google.com/?q=-34.683401992067836,-55.70271838456392;;2025-02-04T03:00:00.000Z;CADA Martes;18;26988122;2236031612;6313237482;;61494;Ruta;1;61494;;
Ruta Dario Martes;61833, DOBENCO S.A.;??/// http://maps.google.com/?q=-34.683839803383904,-55.70250414311886;;2025-02-04T03:00:00.000Z;cada martes;19;26988122;2236031612;3898369811;;61833;Ruta;1;61833;;
Ruta Dario Martes;80263,SALON EL CHINO;"??/// Marcador 50
2024/10/24 @ 12:43:29
http://maps.google.com/?q=-34.68437213070302,-55.70525717974649";;2025-02-04T03:00:00.000Z;CADA MARTES;20;26988122;2236031612;7562471009;;80263;Ruta;1;80263;;
Ruta Dario Martes;80262,VERDULERIA LA FAMILIA;"??/// Marcador 48
2024/10/24 @ 12:06:29
http://maps.google.com/?q=-34.6840677,-55.7038075";;2025-02-04T03:00:00.000Z;CADA MARTES;21;26988122;2236031612;7562481464;;80262;Ruta;1;80262;;
Ruta Dario Martes;80265,LOS AVILEÑOS;"??/// Marcador 53
2024/10/24 @ 13:31:11
http://maps.google.com/?q=-34.769547799999984,-55.61391449999999";;2025-02-04T03:00:00.000Z;CADA MARTES;22;26988122;2236031612;7658178535;;80265;Ruta;1;80265;;
Ruta Dario Martes;80281,PLAN B;??/// http://maps.google.com/?q=-34.686090, -55.705386;;2025-02-04T03:00:00.000Z;CADA MARTES;23;26988122;2236031612;8009808270;;80281;Ruta;1;80281;;
Ruta Dario Martes;80283,ALM.EL ONCE;??/// http://maps.google.com/?q=-34.771273, -55.757842;;2025-02-04T03:00:00.000Z;CADA MARTES;24;26988122;2236031612;8009824232;;80283;Ruta;1;80283;;
Ruta Dario Martes;80292,AGROPECUARIA;??/// http://maps.google.com/?q=-34.769391, -55.614525;;2025-02-04T03:00:00.000Z;CADA MARTES;25;26988122;2236031612;8240528633;;80292;Ruta;1;80292;;
Ruta Dario Martes;22914, KIOSCO ALI;??/// http://maps.google.com/?q=-34.7642973498299,-55.6579999253153;;2025-02-04T03:00:00.000Z;cada martes;26;26988122;2236031612;3898369871;;22914;Ruta;1;22914;;
Ruta Dario Martes;22146, PETROBRAS FLORESTA;????/// http://maps.google.com/?q=-34.749407865093055,-55.68400360643864;;2025-02-04T03:00:00.000Z;cada martes;27;26988122;2236031612;4568677149;;22146;Ruta;1;22146;;
Ruta Dario Martes;80116,ALMACEN EL HORNERO ( Llorón San Luis );??/// http://maps.google.com/?q=-34.76127994910307,-55.59510380029678;;2025-02-04T03:00:00.000Z;cada martes;28;26988122;2236031612;7331754046;;80116;Ruta;1;80116;;
